stop_order,public_id,name,address,postcode,locality,latitude,longitude,tuesday_opens,tuesday_closes,tuesday_status,candidate_status,visit_minutes,assessment,source_url,checked_at,notes
1,south-erikshjalpen-lund-vasterbro,Erikshjälpen Second Hand Lund Västerbro,Åldermansgatan 2,227 64,Lund,55.711305,13.173413,10:00,18:00,verified_open,selected,60,Hög prioritet: stor butik med brett sortiment och kafé.,https://erikshjalpen.se/butiker/lund-vasterbro/,2026-07-26,Startstopp. Adress och tisdagstid verifierade på officiell butikssida; adresskoordinat verifierad i karttjänst.
2,south-erikshjalpen-lund-city,Erikshjälpen Second Hand Lund City,Stora Södergatan 25,222 23,Lund,55.700294,13.192033,11:00,18:00,verified_open,selected,45,"Hög prioritet: hem, hushåll, möbler, el, böcker och media.",https://erikshjalpen.se/butiker/second-hand-lund-city/,2026-07-26,Adress och tisdagstid verifierade på officiell butikssida; adresskoordinat verifierad i karttjänst.
3,south-erikshjalpen-malmo,Erikshjälpen Second Hand Malmö,Sallerupsvägen 88,212 28,Malmö,55.601383,13.038566,10:00,18:00,verified_open,selected,60,"Hög prioritet: stor butik med möbler, hem, kläder och kafé.",https://erikshjalpen.se/butiker/second-hand-malmo/,2026-07-26,Adress och tisdagstid verifierade på officiell butikssida; adresskoordinat verifierad i karttjänst.
4,south-bjorkafrihet-heleneholm,Björkåfrihet Malmö Heleneholm,Lantmannagatan 59,214 48,Malmö,55.58148,13.01693,10:00,19:00,verified_open,selected,45,Hög prioritet: större stadsdelsbutik med bättre rundvärde än citybutikerna.,https://english.bjorkafrihet.se/oppettider-bjorkafrihet-second-hand-butiker/,2026-07-26,Adress och tisdagstid verifierade på officiell butikssida; postnummer och adresskoordinat verifierade i karttjänst.
5,south-skane-stadsmission-mobilia,Skåne Stadsmission Second Hand Mobilia,Per Albin Hanssons väg 40,214 32,Malmö,55.581166,13.003441,10:00,20:00,verified_open,selected,35,"Normal prioritet: kläder, barnvaror, leksaker och hemprylar.",https://www.skanestadsmission.se/second-hand/,2026-07-26,"Butiken ligger i Mobilia, södra huset, plan 1. Postnummer och adresskoordinat verifierade i karttjänst."
6,south-myrorna-malmo-centrum,Myrorna Malmö centrum,Södra Förstadsgatan 74A,214 20,Malmö,55.593723,13.004862,10:00,18:00,verified_open,selected,35,"Normal prioritet: centralt stopp med kläder, inredning och prylar.",https://www.myrorna.se/butiker/malmo/malmo-centrum/,2026-07-26,Adress och tisdagstid verifierade på officiell butikssida; postnummer och adresskoordinat verifierade i karttjänst.
7,south-bjorkafrihet-malmo-city,Björkåfrihet Malmö City,Södra Förstadsgatan 14,211 43,Malmö,55.5997,13.0018,11:00,19:00,verified_open,selected,35,Normal prioritet: centralt stopp men mer klädtyngt än lagerbutikerna.,https://bjorkafrihet.se/oppettider-bjorkafrihet-second-hand-butiker/,2026-07-26,Sommartiden 1 juli–30 augusti är också 11:00–19:00 på vardagar. Postnummer och adresskoordinat verifierade i karttjänst.
8,south-ab-smaland-malmo,AB Småland,Södra Förstadsgatan 25-27,211 43,Malmö,55.597979,13.000942,10:00,18:00,verified_open,conditional,30,"Låg prioritet: design- och hållbarhetsinriktat, med svagare loppisprofil.",https://www.skanestadsmission.se/second-hand/,2026-07-26,Hoppa över först vid tidsbrist. Postnummer och adresskoordinat verifierade i karttjänst.
9,south-skane-stadsmission-triangeln,Skåne Stadsmission Second Hand Triangeln,Södra Förstadsgatan 41,211 43,Malmö,55.595799,13.002445,10:00,20:00,verified_open,conditional,25,"Låg prioritet: främst vintage, märkeskläder och accessoarer.",https://www.skanestadsmission.se/second-hand/,2026-07-26,"Hoppa över först vid tidsbrist. Butiken ligger i Triangelns köpcentrum, plan 2. Postnummer och adresskoordinat verifierade i karttjänst."
10,south-erikshjalpen-trelleborg,Erikshjälpen Second Hand Trelleborg,Hedvägen 185,231 66,Trelleborg,,,11:00,18:00,verified_open,selected,60,"Hög prioritet: över 650 kvadratmeter med möbler, el, hemmafix, böcker, media och brett hushållssortiment.",https://erikshjalpen.se/butiker/second-hand-trelleborg/,2026-07-26,"Adress, postnummer, sortiment och tisdagstid verifierade på officiell butikssida. Exakt koordinat lämnas NULL tills kartpunkten kan styrkas."
11,south-roda-korset-ystad,Röda Korset Second hand Ystad,Skansgatan 2,271 43,Ystad,55.428208,13.82,12:00,17:00,verified_open,selected,35,"Normal prioritet och geografiskt slutstopp: kläder, glas, porslin och prydnadssaker; inga skrymmande möbler.",https://www.rodakorset.se/ort/skane/ystads-kommun/second-hand/roda-korset-second-hand-ystad/,2026-07-26,Slutstopp. Officiella sidan anger tisdag–fredag 12:00–17:00 och länkar till karttjänst; adresskoordinaten är verifierad där.
