stop_order,public_id,name,address,postcode,locality,latitude,longitude,tuesday_opens,tuesday_closes,tuesday_status,candidate_status,visit_minutes,assessment,source_url,checked_at,notes
1,halland-pmu-angelholm,PMU Second Hand Ängelholm,Transportgatan 5,262 71,Ängelholm,,,10:00,18:00,verified_open,selected,60,Hög prioritet: stor välgörenhetsbutik med brett sortiment och god rundstart.,https://pmu.se/butik/angelholm/,2026-07-26,Adress och tisdagstid verifierade på PMU:s officiella butikssida. Koordinater lämnas NULL; adress är tillräcklig för version 1.
2,halland-fyndhuset-angelholm,Fyndhuset Ängelholm,Heimdallgatan 42,262 71,Ängelholm,,,14:00,18:00,verified_open,selected,50,"Hög prioritet: antikt, kuriosa, retro och möbler med tydlig loppisprofil.",https://www.fyndhusetengelholm.se/,2026-07-26,Adress och tisdagstid verifierade på verksamhetens officiella webbplats. Öppnar 14:00 och bör tidsplaneras därefter.
3,halland-roda-korset-angelholm,Röda Korset Second hand Ängelholm,Storgatan 4A,262 32,Ängelholm,,,14:00,17:00,verified_open,selected,35,"Normal prioritet: diversehandel med kläder, skor, porslin och mindre prylar men utan möbler och böcker.",https://www.rodakorset.se/ort/skane/angelholms-kommun/second-hand/roda-korset-second-hand-angelholms/,2026-07-26,Adress och tisdagstid verifierade på Röda Korsets officiella butikssida. Öppnar 14:00.
4,halland-roda-korset-laholm,Röda Korset Second hand Laholm,Östertullsgatan 24,312 30,Laholm,,,10:00,17:00,verified_open,selected,40,Normal prioritet: centralt och stabilt tisdagstopp mellan Ängelholm och Halmstad.,https://www.rodakorset.se/ort/halland/laholms-kommun/,2026-07-26,Adress och tisdagstid verifierade på Röda Korsets officiella Laholmssida.
5,halland-kretsloppan-halmstad,Kretsloppan Halmstad,Knäredsgatan 23,302 50,Halmstad,,,10:00,15:30,verified_open,selected,50,"Hög prioritet: kommunal återbruksbutik med möbler, cyklar, glas och porslin.",https://www.halmstad.se/byggaboochmiljo/avfallochatervinning/aterbrukochateranvandning/kretsloppansecondhandbutik.n2299.html,2026-07-26,Officiell kommunal sida visar tisdag 10:00–12:30 och 13:00–15:30. Exporten använder hela ytterintervallet; lunchstängningen måste beaktas i körplanen.
6,halland-pmu-halmstad,PMU Second Hand Halmstad,Stormgatan 10,302 63,Halmstad,,,12:00,18:00,verified_open,selected,60,"Hög prioritet: bred butik med möbler, porslin, böcker, teknik, fritid och kafé.",https://pmu.se/butik/halmstad/,2026-07-26,"Adress, sortiment och tisdagstid verifierade på PMU:s officiella butikssida."
7,halland-roda-korset-halmstad,Röda Korset Second hand Halmstad,Ryttarevägen 11,302 62,Halmstad,,,12:00,18:00,verified_open,selected,45,Normal prioritet: etablerad second hand-butik med bra geografiskt slutläge i Halmstad.,https://www.rodakorset.se/ort/halland/halmstads-kommun/second-hand/roda-korset-second-hand-halmstad/,2026-07-26,Adress och tisdagstid verifierade på Röda Korsets officiella butikssida.
8,halland-roda-korset-hoganas,Röda Korset Second hand Höganäs,Storgatan 21,263 37,Höganäs,,,13:00,17:00,verified_open,conditional,35,"Villkorat tillägg: husgeråd, kläder, leksaker och mindre fynd, men sen öppning och geografisk avstickare.",https://www.rodakorset.se/ort/skane/hoganas-kommun/second-hand/roda-korset-second-hand-hoganas/,2026-07-26,Adress och tisdagstid verifierade på Röda Korsets officiella butikssida. Tas med endast när sen start eller omvänd körordning passar.
9,halland-erikshjalpen-halmstad,Erikshjälpen Second Hand Halmstad,Ryttarevägen 10,302 62,Halmstad,,,11:00,18:00,verified_open,conditional,60,"Villkorat högvärdesstopp: över 2100 kvadratmeter med möbler, el, böcker, media, hem- och hushållssortiment samt kafé.",https://erikshjalpen.se/butiker/second-hand-halmstad/,2026-07-26,"Adress, postnummer, sortiment och tisdagstid verifierade på Erikshjälpens officiella butikssida. Koordinater lämnas NULL tills en kartpunkt kan styrkas."
10,halland-myrorna-halmstad,Myrorna Halmstad,Karl XI:s väg 47,,Halmstad,,,10:00,18:00,verified_open,conditional,40,"Villkorat centralt stopp med kläder, inredning, böcker, skivor, hushållsvaror och mindre möbler.",https://www.myrorna.se/butiker/halmstad/halmstad/,2026-07-26,"Adress, sortiment och tisdagstid verifierade på Myrornas officiella butikssida. Postnummer och koordinater lämnas NULL eftersom de inte styrks av den använda officiella sidan."
