stop_order,public_id,name,address,postcode,locality,latitude,longitude,tuesday_opens,tuesday_closes,tuesday_status,candidate_status,visit_minutes,assessment,source_url,checked_at,notes
1,blekinge-butiken-bromolla,Butiken Secondhand Bromölla,Industrigatan 3,,Bromölla,,,09:30,12:00,verified_open,conditional,30,"Villkorat kommunalt återbruksstopp med kläder, textilier och mindre prylar; kort tisdagsfönster och svagare profil för möbler och större elektronik.",https://www.bromolla.se/butiken,2026-07-26,"Adress och tisdagstid verifierade på Bromölla kommuns sida. Postnummer och koordinater lämnas NULL. Stoppordningen är inte fullständigt tidsoptimerad."
2,blekinge-majas-kristianstad,Majas Secondhand Kristianstad,Nässelvägen 5,291 59,Kristianstad,,,10:00,18:00,verified_open,selected,60,Hög prioritet: cirka 1100 kvadratmeter och bred second hand-profil med tydligt fyndvärde.,https://www.majassecondhand.se/om-oss/,2026-07-26,"Adress, postnummer, butiksstorlek och tisdagstid verifierade på verksamhetens officiella webbplats. Koordinater lämnas NULL."
3,blekinge-roda-korset-kristianstad,Röda Korset Second hand Kristianstad,Östra Vallgatan 19,291 31,Kristianstad,,,10:00,16:00,verified_open,selected,35,Normal prioritet: centralt och stabilt välgörenhetsstopp.,https://www.rodakorset.se/ort/skane/kristianstads-kommun/second-hand/roda-korset-second-hand-kristianstad/,2026-07-26,"Adress, postnummer och tisdagstid verifierade på Röda Korsets officiella butikssida. Koordinater lämnas NULL."
4,blekinge-pmu-kristianstad,PMU Second Hand Kristianstad,Näsbychaussén 119,291 36,Kristianstad,,,12:00,17:00,verified_open,selected,60,"Hög prioritet: möbler, teknik, böcker, husgeråd, fritidsprylar och kafé.",https://pmu.se/butik/kristianstad/,2026-07-26,"Adress, postnummer, sortiment och tisdagstid verifierade på PMU:s officiella butikssida. Koordinater lämnas NULL."
5,blekinge-erikshjalpen-kristianstad,Erikshjälpen Second Hand Kristianstad,Karlsgatan 47,291 59,Kristianstad,,,12:00,18:00,verified_open,selected,60,Hög prioritet: över 1500 kvadratmeter med möbler och brett sortiment.,https://erikshjalpen.se/butiker/second-hand-kristianstad/,2026-07-26,"Adress, postnummer, butiksstorlek, sortiment och tisdagstid verifierade på Erikshjälpens officiella butikssida. Koordinater lämnas NULL."
6,blekinge-tva-hjartan-solvesborg,Två Hjärtan Sölvesborg,Skånevägen 32,,Sölvesborg,,,10:00,18:00,verified_open,selected,45,Normal prioritet: ideell second hand med bred vardagsöppettid.,https://tvahjartan.com/,2026-07-26,"Adress och tisdagstid verifierade på verksamhetens officiella webbplats. Postnummer och koordinater lämnas NULL."
7,blekinge-norreboden-solvesborg,Norreboden Second Hand,Norra Bryggerigatan 3,294 34,Sölvesborg,,,16:00,19:00,verified_open,conditional,45,"Villkorat stopp med möbler, kläder, leksaker och prylar; öppnar sent på tisdagen.",https://www.folkkyrkan.se/kontakt,2026-07-26,"Adress, postnummer, sortiment och tisdagstid verifierade på verksamhetens officiella webbplats. Koordinater lämnas NULL. Sen öppning kräver särskild tidsplanering."
8,blekinge-varuformedling-asarum,Blekinge Varuförmedling,Verkstadsvägen 1,374 50,Asarum,,,12:00,18:00,verified_open,selected,60,"Hög prioritet: stark loppisprofil med verktyg, elektronik, vinyl, möbler och hushållsvaror.",https://blekingevaruformedling.se/kontakt/,2026-07-26,"Adress, postnummer, sortiment och tisdagstid verifierade på verksamhetens officiella webbplats. Koordinater lämnas NULL."
9,blekinge-hallbaren-karlshamn,Hållbaren Karlshamn,Boktryckargatan 3,,Karlshamn,,,10:00,15:30,verified_open,conditional,35,Villkorat kommunalt återbruksstopp med kortare dag och lunchstängning.,https://www.karlshamn.se/bygga-bo-och-miljo/avfall-och-atervinning/hallbaren/,2026-07-26,"Adress och vardagstid verifierade på Karlshamns kommuns sida. Sidan anger lunchstängt 12:00–13:00; exporten använder ytterintervallet 10:00–15:30. Postnummer och koordinater lämnas NULL."
10,blekinge-34ans-fynd-karlshamn,34:ans Fynd Karlshamn,Rörvägen 4,374 32,Karlshamn,,,13:00,18:00,verified_open,selected,60,Hög prioritet: större second hand-butik med kafé och bred fyndprofil.,https://www.34ansfynd.se/,2026-07-26,"Adress, postnummer och tisdagstid verifierade på verksamhetens officiella webbplats. Koordinater lämnas NULL."
11,blekinge-roda-korset-karlshamn,Röda Korset Second hand Karlshamn,Strömmavägen 2,374 32,Karlshamn,,,13:00,17:00,verified_open,selected,45,"Normal prioritet: cirka 700 kvadratmeter med mindre möbler, media, elektronik och husgeråd.",https://www.rodakorset.se/ort/blekinge/karlshamns-kommun/second-hand/roda-korset-second-hand-karlshamn/,2026-07-26,"Adress, postnummer, butiksstorlek, sortiment och tisdagstid verifierade på Röda Korsets officiella butikssida. Koordinater lämnas NULL."
